Modelo,MCC,Precisión,Recall,F1-Score,Falsos Positivos (FP),Falsos Negativos (FN),Verdaderos Positivos (TP),Verdaderos Negativos (TN)
SGDClassifier,0.4148447896202007,0.7843137254901961,0.3305785123966942,0.46511627906976744,11,81,40,315
Perceptron,0.34583666207220315,1.0,0.15702479338842976,0.2714285714285714,0,102,19,326
PassiveAggressiveClassifier,0.24829924350609542,1.0,0.08264462809917356,0.15267175572519084,0,111,10,326
BernoulliNB,0.3053844236233558,0.46853146853146854,0.5537190082644629,0.5075757575757576,76,54,67,250
SVC,0.0,0.0,0.0,0.0,0,121,0,326
GaussianProcessClassifier,0.4539440956091635,0.8148148148148148,0.36363636363636365,0.5028571428571429,10,77,44,316
RandomForestClassifier,0.46939354061733285,0.8333333333333334,0.371900826446281,0.5142857142857142,9,76,45,317
