Modelo,MCC,Precisión,Recall,F1-Score,Falsos Positivos (FP),Falsos Negativos (FN),Verdaderos Positivos (TP),Verdaderos Negativos (TN)
GaussianNB,0.3706614257077289,0.7574517436769508,0.7211811470755253,0.7327508000807678,331,160,310,960
RandomForestClassifier,0.4650135067336335,0.8039775964464468,0.8103350369108461,0.7896399408691688,60,274,196,1231
SVC,0.0,0.5374446853250808,0.7331061896649631,0.6202097580979471,0,470,0,1291
GaussianProcessClassifier,0.4125500211519485,0.785287461029455,0.7950028392958546,0.7693872906384676,63,298,172,1228
SGDClassifier,0.3557578623745918,0.7504628681792291,0.7660420215786485,0.7541183629863957,146,266,204,1145
Perceptron,0.12368433140644969,0.6576746271216809,0.6797274275979557,0.6666343627572948,232,332,138,1059
PassiveAggressiveClassifier,0.2601729460950672,0.7134242030948568,0.7365133446905168,0.7193392803323246,159,305,165,1132
BernoulliNB,0.36921066310787753,0.7564366876474026,0.7228847245883021,0.7338852919359266,324,164,306,967
