Modelo,MCC,Precisión,Recall,F1-Score,Falsos Positivos (FP),Falsos Negativos (FN),Verdaderos Positivos (TP),Verdaderos Negativos (TN)
GaussianNB,0.38223342330439947,0.7613003950950328,0.730266893810335,0.7405559678932294,313,162,308,978
RandomForestClassifier,0.44731709169908823,0.7959334351364877,0.80465644520159,0.7839054575218182,67,277,193,1224
SVC,0.4434925991591325,0.8058984151193677,0.80465644520159,0.7748885843228174,38,306,164,1253
GaussianProcessClassifier,0.40101905685649825,0.7831109952456408,0.7921635434412265,0.7636855838676105,58,308,162,1233
SGDClassifier,0.4283505625908896,0.7909872710379793,0.7995457126632595,0.7754294678173786,62,291,179,1229
Perceptron,0.338604809723843,0.7439589017788993,0.760931289040318,0.7478625030090161,147,274,196,1144
PassiveAggressiveClassifier,0.3568210302528292,0.7486418472436953,0.7558205565019875,0.7516755697283385,192,238,232,1099
BernoulliNB,0.37136129981958255,0.7568501397947256,0.7262918796138558,0.7365866103671174,315,167,303,976
