Modelo,MCC,Precisión,Recall,F1-Score,Falsos Positivos (FP),Falsos Negativos (FN),Verdaderos Positivos (TP),Verdaderos Negativos (TN)
SGDClassifier,0.405173740475193,0.6395348837209303,0.45454545454545453,0.5314009661835749,31,66,55,295
Perceptron,0.33088178547521013,0.95,0.15702479338842976,0.2695035460992908,1,102,19,325
PassiveAggressiveClassifier,0.42631339574225446,0.5648854961832062,0.6115702479338843,0.5873015873015873,57,47,74,269
BernoulliNB,0.35592777561343225,0.5111111111111111,0.5702479338842975,0.5390625,66,52,69,260
SVC,0.4518321344926486,0.9024390243902439,0.30578512396694213,0.4567901234567901,4,84,37,322
GaussianProcessClassifier,0.40715024491680346,0.8181818181818182,0.2975206611570248,0.43636363636363634,8,85,36,318
RandomForestClassifier,0.4768783335724024,0.8363636363636363,0.38016528925619836,0.5227272727272727,9,75,46,317
